source,dataset,origin_country,destination_country,year,period,measure_type,value,total_migrants,male_migrants,female_migrants,analysis_question
undesa,undesa_destinations,Cameroon,Egypt,2020,covid,stock,337.0,337.0,286.0,51.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Tunisia,2020,covid,stock,758.0,758.0,396.0,362.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Namibia,2020,covid,stock,122.0,122.0,101.0,21.0,Q1_destinations
undesa,undesa_destinations,Cameroon,South Africa,2020,covid,stock,6112.0,6112.0,4237.0,1875.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Ghana,2020,covid,stock,132.0,132.0,89.0,43.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Guinea,2020,covid,stock,187.0,187.0,136.0,51.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Mali,2020,covid,stock,2084.0,2084.0,1065.0,1019.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Mauritania,2020,covid,stock,428.0,428.0,280.0,148.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Niger,2020,covid,stock,531.0,531.0,228.0,303.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Nigeria,2020,covid,stock,52489.0,52489.0,28631.0,23858.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Senegal,2020,covid,stock,1050.0,1050.0,417.0,633.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Togo,2020,covid,stock,702.0,702.0,452.0,250.0,Q1_destinations
undesa,undesa_destinations,Cameroon,China,2020,covid,stock,1907.0,1907.0,955.0,952.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Japan,2020,covid,stock,1130.0,1130.0,778.0,352.0,Q1_destinations
undesa,undesa_destinations,Cameroon,India,2020,covid,stock,177.0,177.0,101.0,76.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Cyprus,2020,covid,stock,1885.0,1885.0,1044.0,841.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Bulgaria,2020,covid,stock,24.0,24.0,18.0,6.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Hungary,2020,covid,stock,322.0,322.0,237.0,85.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Slovakia,2020,covid,stock,15.0,15.0,12.0,3.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Denmark,2020,covid,stock,848.0,848.0,464.0,384.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Estonia,2020,covid,stock,80.0,80.0,57.0,23.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Finland,2020,covid,stock,1094.0,1094.0,676.0,418.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Iceland,2020,covid,stock,5.0,5.0,3.0,2.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Latvia,2020,covid,stock,4.0,4.0,4.0,,Q1_destinations
undesa,undesa_destinations,Cameroon,Lithuania,2020,covid,stock,30.0,30.0,22.0,8.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Norway,2020,covid,stock,814.0,814.0,449.0,365.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Greece,2020,covid,stock,1545.0,1545.0,783.0,762.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Italy,2020,covid,stock,15250.0,15250.0,8172.0,7078.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Portugal,2020,covid,stock,82.0,82.0,55.0,27.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Slovenia,2020,covid,stock,21.0,21.0,18.0,3.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Belgium,2020,covid,stock,22683.0,22683.0,10756.0,11927.0,Q1_destinations
undesa,undesa_destinations,Cameroon,France,2020,covid,stock,114528.0,114528.0,47297.0,67231.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Liechtenstein,2020,covid,stock,3.0,3.0,2.0,1.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Luxembourg,2020,covid,stock,1234.0,1234.0,598.0,636.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Dominican Republic,2020,covid,stock,23.0,23.0,12.0,11.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Costa Rica,2020,covid,stock,11.0,11.0,6.0,5.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Mexico,2020,covid,stock,581.0,581.0,366.0,215.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Bolivia (Plurinational State of),2020,covid,stock,13.0,13.0,12.0,1.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Brazil,2020,covid,stock,816.0,816.0,620.0,196.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Chile,2020,covid,stock,255.0,255.0,130.0,125.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Canada,2020,covid,stock,27172.0,27172.0,13264.0,13908.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Australia,2020,covid,stock,581.0,581.0,334.0,247.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Zambia,2024,post_covid,stock,396.0,396.0,217.0,179.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Chad,2024,post_covid,stock,40472.0,40472.0,18089.0,22383.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Congo,2024,post_covid,stock,11167.0,11167.0,6624.0,4543.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Equatorial Guinea,2024,post_covid,stock,1033.0,1033.0,694.0,339.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Gabon,2024,post_covid,stock,54949.0,54949.0,31924.0,23025.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Egypt,2024,post_covid,stock,327.0,327.0,260.0,67.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Tunisia,2024,post_covid,stock,797.0,797.0,417.0,380.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Namibia,2024,post_covid,stock,129.0,129.0,107.0,22.0,Q1_destinations
undesa,undesa_destinations,Cameroon,South Africa,2024,post_covid,stock,4916.0,4916.0,3402.0,1514.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Ghana,2024,post_covid,stock,147.0,147.0,99.0,48.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Guinea,2024,post_covid,stock,181.0,181.0,132.0,49.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Mali,2024,post_covid,stock,2339.0,2339.0,1195.0,1144.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Mauritania,2024,post_covid,stock,460.0,460.0,301.0,159.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Niger,2024,post_covid,stock,685.0,685.0,294.0,391.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Nigeria,2024,post_covid,stock,56288.0,56288.0,30703.0,25585.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Senegal,2024,post_covid,stock,1076.0,1076.0,428.0,648.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Togo,2024,post_covid,stock,707.0,707.0,455.0,252.0,Q1_destinations
undesa,undesa_destinations,Cameroon,China,2024,post_covid,stock,2133.0,2133.0,999.0,1134.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Japan,2024,post_covid,stock,1290.0,1290.0,808.0,482.0,Q1_destinations
undesa,undesa_destinations,Cameroon,India,2024,post_covid,stock,236.0,236.0,130.0,106.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Cyprus,2024,post_covid,stock,2001.0,2001.0,1108.0,893.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Bulgaria,2024,post_covid,stock,33.0,33.0,25.0,8.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Hungary,2024,post_covid,stock,380.0,380.0,280.0,100.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Slovakia,2024,post_covid,stock,16.0,16.0,13.0,3.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Denmark,2024,post_covid,stock,1048.0,1048.0,581.0,467.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Estonia,2024,post_covid,stock,82.0,82.0,59.0,23.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Finland,2024,post_covid,stock,1288.0,1288.0,796.0,492.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Iceland,2024,post_covid,stock,8.0,8.0,5.0,3.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Latvia,2024,post_covid,stock,4.0,4.0,4.0,,Q1_destinations
undesa,undesa_destinations,Cameroon,Lithuania,2024,post_covid,stock,32.0,32.0,24.0,8.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Norway,2024,post_covid,stock,905.0,905.0,499.0,406.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Greece,2024,post_covid,stock,1641.0,1641.0,832.0,809.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Italy,2024,post_covid,stock,16244.0,16244.0,8781.0,7463.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Portugal,2024,post_covid,stock,92.0,92.0,62.0,30.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Slovenia,2024,post_covid,stock,24.0,24.0,21.0,3.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Belgium,2024,post_covid,stock,30634.0,30634.0,14651.0,15983.0,Q1_destinations
undesa,undesa_destinations,Cameroon,France,2024,post_covid,stock,127995.0,127995.0,53081.0,74914.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Liechtenstein,2024,post_covid,stock,3.0,3.0,2.0,1.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Luxembourg,2024,post_covid,stock,1425.0,1425.0,691.0,734.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Dominican Republic,2024,post_covid,stock,25.0,25.0,13.0,12.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Costa Rica,2024,post_covid,stock,13.0,13.0,7.0,6.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Mexico,2024,post_covid,stock,680.0,680.0,425.0,255.0,Q1_destinations
