destination_country,value
France,97288.0
Gabon,46269.0
Chad,30702.0
Nigeria,26893.0
Canada,18062.0
Belgium,16560.0
Congo,11300.0
Italy,10856.0
South Africa,5747.0
Mali,1778.0
