,destination_country,year,value
1,Chad,1990,30992.0
2,France,1990,26305.0
3,Gabon,1990,15661.0
4,Nigeria,1990,10242.0
5,Congo,1990,3464.0
6,Belgium,1990,842.0
7,Senegal,1990,837.0
8,Italy,1990,747.0
9,Mali,1990,592.0
10,Mauritania,1990,350.0
