measure_type,year,value
citizenship_acquisition,2015,5677.0
citizenship_acquisition,2016,6095.0
citizenship_acquisition,2017,5722.0
citizenship_acquisition,2018,4892.0
citizenship_acquisition,2019,5082.0
citizenship_acquisition,2020,4412.0
citizenship_acquisition,2021,6304.0
