,destination_country,year,value
1,France,2020,114528.0
2,Nigeria,2020,52489.0
3,Gabon,2020,50906.0
4,Chad,2020,35635.0
5,Canada,2020,27172.0
6,Belgium,2020,22683.0
7,Italy,2020,15250.0
8,Congo,2020,11225.0
9,South Africa,2020,6112.0
10,Mali,2020,2084.0
