,destination_country,year,value
1,France,2015,97288.0
2,Gabon,2015,46269.0
3,Chad,2015,30702.0
4,Nigeria,2015,26893.0
5,Canada,2015,18062.0
6,Belgium,2015,16560.0
7,Congo,2015,11300.0
8,Italy,2015,10856.0
9,South Africa,2015,5747.0
10,Mali,2015,1778.0
