,destination_country,year,value
1,France,2005,64858.0
2,Gabon,2005,28544.0
3,Chad,2005,25161.0
4,Nigeria,2005,21748.0
5,Belgium,2005,4532.0
6,Italy,2005,4460.0
7,Congo,2005,3570.0
8,South Africa,2005,3315.0
9,Canada,2005,2892.0
10,Mali,2005,2323.0
