,destination_country,year,value
1,France,2024,127995.0
2,Nigeria,2024,56288.0
3,Gabon,2024,54949.0
4,Canada,2024,43662.0
5,Chad,2024,40472.0
6,Belgium,2024,30634.0
7,Italy,2024,16244.0
8,Congo,2024,11167.0
9,South Africa,2024,4916.0
10,Mali,2024,2339.0
