destination_country,value
France,17922.0
Belgium,2134.0
Germany,1834.0
Italy,1033.0
Spain,562.0
Finland,236.0
Lithuania,160.0
Sweden,133.0
Luxembourg,132.0
Ireland,114.0
Netherlands,77.0
Denmark,73.0
Romania,48.0
Poland,45.0
Latvia,39.0
Czechia,37.0
Estonia,37.0
Norway,31.0
Hungary,20.0
Portugal,15.0
Greece,15.0
Croatia,8.0
Austria,5.0
Malta,5.0
Slovenia,3.0
Cyprus,3.0
Bulgaria,2.0
Iceland,2.0
Liechtenstein,2.0
Slovakia,1.0
Serbia,0.0
