destination_country,value
France,127995.0
Nigeria,56288.0
Gabon,54949.0
Canada,43662.0
Chad,40472.0
Belgium,30634.0
Italy,16244.0
Congo,11167.0
South Africa,4916.0
Mali,2339.0
