destination_country,value
France,114528.0
Nigeria,52489.0
Gabon,50906.0
Chad,35635.0
Canada,27172.0
Belgium,22683.0
Italy,15250.0
Congo,11225.0
South Africa,6112.0
Mali,2084.0
