,destination_country,year,value
1,Chad,1995,33673.0
2,France,1995,31718.0
3,Gabon,1995,20944.0
4,Nigeria,1995,10384.0
5,Congo,1995,4003.0
6,Belgium,1995,1327.0
7,Italy,1995,1258.0
8,Senegal,1995,875.0
9,Canada,1995,634.0
10,Mali,1995,618.0
