,destination_country,year,value
1,France,2010,80804.0
2,Gabon,2010,33089.0
3,Chad,2010,29798.0
4,Nigeria,2010,22214.0
5,Belgium,2010,10906.0
6,Congo,2010,8502.0
7,Italy,2010,7727.0
8,Canada,2010,7697.0
9,South Africa,2010,4207.0
10,Mali,2010,1445.0
