destination_country,origin_country,year,value,source,dataset,measure_type,period,analysis_question
Liechtenstein,Cameroon,2021,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Norway,Cameroon,2021,13,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Serbia,Cameroon,2021,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Belgium,Cameroon,2022,504,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Bulgaria,Cameroon,2022,1,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Czechia,Cameroon,2022,8,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Denmark,Cameroon,2022,35,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Germany,Cameroon,2022,517,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Estonia,Cameroon,2022,13,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Ireland,Cameroon,2022,67,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Greece,Cameroon,2022,1,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Spain,Cameroon,2022,145,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
France,Cameroon,2022,3359,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Croatia,Cameroon,2022,2,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Italy,Cameroon,2022,273,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Cyprus,Cameroon,2022,0,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Latvia,Cameroon,2022,10,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Lithuania,Cameroon,2022,76,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Luxembourg,Cameroon,2022,35,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Hungary,Cameroon,2022,7,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Malta,Cameroon,2022,0,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Netherlands,Cameroon,2022,25,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Austria,Cameroon,2022,0,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Poland,Cameroon,2022,0,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
Portugal,Cameroon,2022,5,eurostat,eurostat_status_changes,status_change,post_covid,Q3_post_arrival_trajectories
