destination_country,entry_reasons,year,permits,source
Grèce,famille,2020,4,eurostat
Espagne,famille,2020,143,eurostat
France,famille,2020,2229,eurostat
Croatie,famille,2020,4,eurostat
Italie,famille,2020,175,eurostat
Chypre,famille,2020,25,eurostat
Lettonie,famille,2020,1,eurostat
Lituanie,famille,2020,0,eurostat
Luxembourg,famille,2020,66,eurostat
Hongrie,famille,2020,3,eurostat
Malte,famille,2020,0,eurostat
Pays-Bas,famille,2020,45,eurostat
Autriche,famille,2020,12,eurostat
Pologne,famille,2020,6,eurostat
Portugal,famille,2020,13,eurostat
Roumanie,famille,2020,9,eurostat
Slovénie,famille,2020,2,eurostat
Slovaquie,famille,2020,0,eurostat
Finlande,famille,2020,80,eurostat
Suède,famille,2020,95,eurostat
Islande,famille,2020,2,eurostat
Liechtenstein,famille,2020,0,eurostat
Norvège,famille,2020,6,eurostat
Suisse,famille,2020,114,eurostat
United Kingdom,famille,2020,0,eurostat
Serbie,famille,2020,0,eurostat
Belgique,famille,2021,1125,eurostat
Bulgarie,famille,2021,1,eurostat
Tchéquie,famille,2021,3,eurostat
Danemark,famille,2021,45,eurostat
Allemagne,famille,2021,1065,eurostat
Estonie,famille,2021,10,eurostat
Irlande,famille,2021,9,eurostat
Grèce,famille,2021,3,eurostat
Espagne,famille,2021,264,eurostat
France,famille,2021,2639,eurostat
Croatie,famille,2021,2,eurostat
Italie,famille,2021,455,eurostat
Chypre,famille,2021,27,eurostat
Lettonie,famille,2021,0,eurostat
Lituanie,famille,2021,2,eurostat
Luxembourg,famille,2021,80,eurostat
Hongrie,famille,2021,8,eurostat
Malte,famille,2021,0,eurostat
Pays-Bas,famille,2021,46,eurostat
Autriche,famille,2021,13,eurostat
Pologne,famille,2021,9,eurostat
Portugal,famille,2021,9,eurostat
Roumanie,famille,2021,12,eurostat
Slovénie,famille,2021,0,eurostat
Slovaquie,famille,2021,1,eurostat
Finlande,famille,2021,115,eurostat
Suède,famille,2021,82,eurostat
Islande,famille,2021,1,eurostat
Liechtenstein,famille,2021,0,eurostat
Norvège,famille,2021,16,eurostat
Suisse,famille,2021,88,eurostat
United Kingdom,famille,2021,0,eurostat
Serbie,famille,2021,0,eurostat
Belgique,famille,2022,1055,eurostat
Bulgarie,famille,2022,6,eurostat
Tchéquie,famille,2022,7,eurostat
Danemark,famille,2022,64,eurostat
Allemagne,famille,2022,1236,eurostat
Estonie,famille,2022,11,eurostat
Irlande,famille,2022,6,eurostat
Grèce,famille,2022,2,eurostat
Espagne,famille,2022,239,eurostat
France,famille,2022,2557,eurostat
Croatie,famille,2022,0,eurostat
Italie,famille,2022,513,eurostat
Chypre,famille,2022,22,eurostat
Lettonie,famille,2022,0,eurostat
Lituanie,famille,2022,2,eurostat
Luxembourg,famille,2022,88,eurostat
Hongrie,famille,2022,5,eurostat
Malte,famille,2022,0,eurostat
Pays-Bas,famille,2022,61,eurostat
Autriche,famille,2022,21,eurostat
Pologne,famille,2022,17,eurostat
Portugal,famille,2022,23,eurostat
Roumanie,famille,2022,10,eurostat
Slovénie,famille,2022,2,eurostat
Slovaquie,famille,2022,4,eurostat
Finlande,famille,2022,89,eurostat
Suède,famille,2022,98,eurostat
Islande,famille,2022,3,eurostat
Liechtenstein,famille,2022,0,eurostat
